"%s was successfully added to your shopping cart.","Товар '%s' успешно добавлен в Вашу корзину."
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 196000"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите регион, штат или район"
"Please select shipping address for applicable items","Выберите адрес доставки для указанных товаров"
"Please select shipping methods for all addresses","Пожалуйста, выберите способ доставки для всех адресов"
"Price","Цена"
"Proceed to Checkout","Приступить к оформлению заказа"
"Product","Товар"
"Product Name","Название товара"
"Product does not exist","Товар не существует"
"Qty","Кол-во"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Recently added item(s)","Последние товары в заказе"
"Register","Регистрация"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учетной записи"
"Register with us for future convenience:","Зарегистрируйтесь для  удобства в будущем:"
"Remove","Удалить"
"Remove Item","Удалить товар"
"Remove Product","Удалить товар"
"Remove item","Удалить товар"
"Review Order","Обзор заказа"
"Review Order - %s","Обзор заказа - %s"
"Sales","Продажи"
"Save Condition","Условия сохранения"
"Save in address book","Сохранить в адресной книге"
"Select Address","Выберите адрес"
"Select Addresses","Выберите адреса"
"Select Shipping Method","Выберите способ доставки"
"Select State/Province...","Выберите регион/район ..."
"Select a billing address from your address book or enter a new address.","Выберите адрес оплаты из адресной книги или введите новый."
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый ."
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
"Send to","Отправить"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to different address","Доставить по другим адресам"
"Ship to this address","Доставить на этот адрес"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Shipping Methods","Способы доставки"
"Shipping method has not been selected yet","Способ доставки еще не был выбран"
"Shipping selection is not applicable","Выбор доставки не подходит"
"Shipping to","Доставка до"
"Shopping Cart","Корзина"
"Shopping Cart Sidebar","Инф. блок корзины"
"Shopping Cart is Empty","Корзина пуста"
"Show Content as","Показать содержание как"
"Some of the products you requested are not available in the desired quantity","Некоторые продукты, которые Вы запросили, не имеются в нужном количестве"
"Some of the products you requested are unavailable","Некоторые запрашиваемые продукты недоступны"
"Sorry, Onepage Checkout is disabled.","Извините, моментальный заказ отключён."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, заказ без регистрации невозможен."
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"State/Province","Штат/район"
"Status","Статус"
"Store View","Вид магазина"
"Street Address","Адрес"
"Street Address ","Адрес "
"Submitting order information...","Отправка информации о заказе ..."
"Subtotal","Итого"
"Telephone","Telephone"
"Terms and Conditions","Соглашение о заказе"
"Terms and Conditions Information","Информация о ""Соглашении о заказе"""
"Terms and conditions","Соглашение о заказе"
"Text","Текст"
"Thank you for your purchase!","Спасибо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","В корзине <a href=""%s""><strong>%s items</strong></a> товаров."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","В корзине <a href=""%s""><strong>1</strong></a> товар."
"There is already a customer registered using this email address","Уже существует пользователь, зарегистрированный на данный email."
"There was an error processing your order. Please contact us or try again later.","В ходе обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"This condition no longer exists","Это условие больше не существует"
"Total","Всего"
"Total for this address","Итого для этого адреса"
"Unit Price","Цена за единицу"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Shopping Cart","Обновить корзину"
"Update Total","Обновление итого"
"Use Billing Address","Использовать платежный адрес"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите email письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо с ссылкой для отслеживания пути посылки."
"You have no items in your shopping cart.","У Вас нет товаров в корзине"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо с подтверждением вашего заказа на Ваш email и ссылку для отслеживания отправленной посылки"
"Your Checkout Progress","Стадия оформления заказа"
"Your order # is: %s","Ваш заказ # %s"
"Your order # is: <a href=""%s"">%s</a>","Ваш заказ: <a href=""%s"">%s</a>"
"Your order has been received","Ваш заказ был получен"
"Your order number is ","Номер Вашего заказа: "
"Zip/Postal Code","Почтовый индекс"
"osCommerce Orders","Заказы osCommerce"
"separate by "",""","символ разделения: "","""
